White wine, dry	67
Whole milk, pasteurised, average	66
Whole milk, sterilised	66
Whole milk, UHT	66
Haddock, smoked, steamed, weighed with bones and skin	66
Plaice, frozen, steamed, weighed with bones and skin	66
Strong ale/barley wine	66
Human milk, transitional	65
Whole milk, average	65
Sweetcorn, on-the-cob, whole, boiled in unsalted water	65
New potatoes, in skins, boiled in unsalted water	65
New potatoes, in skins, boiled in salted water	65
Spaghetti, canned in tomato sauce	64
Gold Cap SMA, reconstituted	64
Jelly, made with water	64
Whole milk, pasteurised, summer	64
Flavoured milk, pasteurised	64
Courgette, fried in corn oil	64
Parsnip, raw	64
Bananas, weighed with skin	64
Grapefruit, canned in syrup	64
Grapes, average	64
Guava, canned in syrup	64
Lemon sole, steamed, weighed with bones and skin	64
Instant soup powder, dried, made up with water	64
Cow & Gate Plus, reconstituted	63
SMA, White Cap, reconstituted	63
Yogurt, drinking	63
Flavoured milk, pasteurised, chocolate	63
Lassi, sweetened	63
Parsnip, boiled in unsalted water	63
Parsnip, boiled in salted water	63
Goats milk, pasteurised	62
New potatoes, canned, re-heated, drained	62
Lychees, raw	62
Tomato soup, cream of, canned, condensed, as served	62
Noodles, egg, boiled	61
Blackcurrants, stewed with sugar	61
Grapes, weighed with pips	61
Baby desserts, fromage frais, fruit, canned/bottled	61
Fruit cocktail, canned in syrup	60
Mangoes, ripe, raw	59
Blackberries, stewed with sugar	58
Chicken soup, cream of, canned	58
Peaches, canned in syrup	57
Human milk, colostrum	56
Yogurt, low fat, plain	56
Gooseberries, cooking, stewed with sugar	56
Yogurt, virtually fat free/diet, plain	55
Mandarin oranges, canned in syrup	55
Pears, canned in syrup	53
Yeast, bakers, compressed	53
Vegetables, stir-fried, takeaway	52
Tomato soup, cream of, canned	52
Semi-skimmed milk, pasteurised, fortified plus SMP	51
Old potatoes, baked, flesh only, weighed with skin	51
Kiwi fruit	51
Fromage frais, virtually fat free, fruit	50
Cherries, raw	50
Pineapple, canned in juice	49
Rhubarb, stewed with sugar	49
Grape juice, unsweetened	49
Pasta sauce, tomato based	49
Fromage frais, virtually fat free, natural	48
Yogurt, virtually fat free/diet, fruit	48
Vegetable soup, canned	48
Channel Island milk, semi-skimmed, UHT	47
Semi-skimmed milk, pasteurised, average	47
Semi-skimmed milk, pasteurised, winter	47
Semi-skimmed milk, average	46
Semi-skimmed milk, UHT	46
Semi-skimmed milk, pasteurised, summer	46
Beetroot, boiled in salted water	46
Mushroom soup, cream of, canned	46
Soya, non-dairy alternative to milk, sweetened, calcium enriched	45
Pears, average, raw, peeled	44
Kiwi fruit, weighed with skin	44
Oxtail soup, canned	44
Soy sauce	44
Dressing, French, fat free	44
Brussels sprouts, raw	43
Mixed vegetables, frozen, boiled in salted water	43
Pineapple, raw	43
Pineapple juice, unsweetened	43
Cook-in-sauces, canned	43
Cherries, raw, weighed with stones	42
Pears, average, raw	42
Chicken soup, cream of, canned, condensed, as served	42
Apple juice, unsweetened	41
Nectarines	41
Peaches, canned in juice	40
Mangoes, ripe, raw, weighed with skin and stone	40
Lychees, raw, weighed with skin and stone	39
Oranges	39
Onions, raw	38
Passion fruit	38
Paw-paw, raw	38
Paw-paw, raw, weighed with skin and pips	38
Pears, average, raw, weighed with core	38
Clementines	38
Plums, average, raw	38
Orange juice, unsweetened	38
Brussels sprouts, boiled in unsalted water	37
Brussels sprouts, frozen, boiled in unsalted water	37
Brussels sprouts, frozen, boiled in salted water	37
Satsumas	37
Nectarines, weighed with stones	37
Prawns, boiled, weighed with shells	37
Cider, dry	37
Beetroot, raw	36
Peppers, capsicum, red, boiled in salted water	36
Carrots, old, raw	36
Damsons, raw, weighed with stones	36
Apricots, canned in juice	36
Plums, average, raw, weighed with stones	36
Tomato soup, dried, as served	36
Beer, bitter, average	36
Skimmed milk, sterilised	35
Pears, canned in juice	35
Tangerines	35
Grapefruit juice, unsweetened	35
Skimmed milk, pasteurised, average	34
Cauliflower, raw	34
Curly kale, raw	34
Parsley, fresh	34
Apples, cooking, stewed without sugar	34
Blackcurrants, canned in juice	34
Mandarin oranges, canned in juice	34
Peaches, raw	34
Gravy instant granules, made up	34
Broccoli, green, raw	33
Peppers, capsicum, red, raw	33
Spring greens, raw	33
Fruit gums/jellies	33
Tripe, dressed, raw	33
Skimmed milk, average	32
Skimmed milk, pasteurised, summer	32
Skimmed milk, pasteurised, winter	32
